company,position,connected_on
Refugios Ecológicos S.A.,Especialista en Facebook Advertising,2016-09-01
FINANCIERA QAPAQ S.A.,Oficial de Seguridad de la Información,2016-08-30
Universitat Pompeu Fabra - Barcelona,Research Assistant,2016-08-08
Derrama Magisterial,Supervisor de Administracion Central de Agencias,2016-08-07
"Superintendencia de Banca, Seguros y AFP del Perú",Intendente de Supervisión de Sistemas de Información y Tecnología,2016-08-03
OOCL Logistics,Customer Service Manager,2016-07-26
Gestión de Riesgos y Finanzas,Profesional independiente,2016-07-25
Caja Municipal Ica,AUDITOR  ZONAL,2016-07-25
Active Team Peru,Gerente general,2016-07-22
BTA Global S.A.,Presidente,2016-07-21
La Positiva Seguros,Gerente Corporativo de Riesgos y Función Actuarial,2016-07-19
Caja Huancayo,Information Technologies and Junior Process,2016-07-08
EIGER - Escuela Internacional de Gerencia,Coordinador de marketing,2016-07-07
GrowTalent ,Asesor de Empleabilidad Laboral,2016-06-23
Listo,Analista de Sistemas,2016-06-23
eClass,Coordinadora de Negocios de Retail Perú,2016-06-23
Asociación de AFP,Presidente,2016-06-13
COFIDE,Ejecutivo de Financiamiento de Infraestructura - Gerencia de Negocios,2016-06-10
Euroclear,Intern in Banking Middle Office,2016-06-08
Independent Consulting,Independent Consultant,2016-06-07
Prima AFP,Chief Investment Officer,2016-06-07
Banco de Comercio Perú,Coordinadora de Negocios FFAA y PNP,2016-06-07
GSG Education,Coordinador Académico ,2016-06-01
RECAUDACION Y CONTACTO RECSA SAC,EJECUTIVO DE SERVICIOS MOTORIZADO.,2016-05-30
Banco de Crédito BCP,Sub Gerente de Riesgos,2016-05-30
Asesores y Consultores Empresariales,Gerente de Tecnologías de la Información,2016-05-20
Banco Ripley Perú,Jefe de Planeamiento Financiero,2016-05-18
Interbank,Talent Research,2016-05-18
Huawei,Huawei Cloud Solution Architect Manager,2016-05-13
Jsr Trust S.p.A:,Chairman of the Board and C.E.O.,2016-05-09
Brema SAC,Jefe de administración,2016-05-09
Logros Perú,Director Digital,2016-05-09
KEEDIO,Responsable de recursos humanos,2016-04-26
DC Finance,Director of International Events,2016-04-26
Interbank,Jefe de Arquitectura Empresarial,2016-04-26
CONSORCIO INMOBILIARIO DEL PACIFICO S.A.,Analista contable,2016-04-26
10ttm,CEO & Founder,2016-04-26
Corporación FONAFE,Analista de Planeamiento Corporativo,2016-04-26
Nexos Gestión Estratégica SAC,CEO,2016-04-26
IBHUNTERS,Researcher,2016-04-26
Entel,Project Manager Senior - Transformación Digital ,2016-04-23
Universidad Norbert Wiener,Gerente de Administración y Finanzas,2016-04-07
ISODEC,Consultor Analítico Senior,2016-04-07
Scotiabank,Audit Manager,2016-04-05
IT Talent Headhunting,Senior Lead IT Recruiter,2016-04-05
Instituto ELA,"Profesor de Economía, Gestión Pública y Estadística",2016-04-05
Markets Group,Head of Investor Relations and Production ,2016-03-15
Universidad Carlos III de Madrid,Máster en Ciencias Actuariales y Financieras,2016-03-14
deister software,Senior Database Consultant,2016-03-09
LIMA CRICKET & FOOTBALL CLUB,JEFE DE DEPORTES,2016-03-09
Compartamos Financiera,Human Resources Business Partner,2016-03-08
Airu Peru,Co-Founder & CMO,2016-03-07
REPRESENTACIONES JHP SRL ,AUDITORA Y PLANEAMIENTO ORGANIZACIONAL ,2016-02-29
"Arquitectura Real estate, Diseño Gerencias y Construcción ",Consultor senior especializado en el desarrollo de proyectos inmobiliarios y comerciales ,2016-02-29
Asgadi Trader,"Trader, AnaIista de Inversiones en Bolsa de Valores",2016-02-29
GROUP ICSSA - PERÚ,General Manager,2016-02-29
Medicina de Precisión,Chief Operating Officer,2016-02-29
Abbott,Senior Procurement Specialist,2016-02-29
jAG Consultor en Ventas y Marketing -jAG Sales and Marketing Consultant,Consultor,2016-02-22
Encora Inc.,Talent Acquisition Lead,2016-02-22
"Linux Solutions, C.A.",Scanning Project Insurance Company (Proyecto de Digitalizacion Compañia de Seguros),2016-02-08
OSITRÁN Oficial,Analista Económico Financiero,2016-01-19
Telespazio Ibérica,Sales Manager,2016-01-18
Financiera Confianza S.A.A,Gerente de corredor,2016-01-18
NielsenIQ,Mid Senior Account Executive ,2016-01-18
BRECA,Gerente de Riesgos de Corporación Breca ,2016-01-14
Globokas Perú SAC,Presidente Ejecutivo,2016-01-08
Universidad de Piura,Lecturer,2016-01-04
Sunedu,Automatizador de Pruebas,2015-12-30
Sunarp,Analista de Mejora Continua,2015-12-22
Credicorp Capital,Sell-Side Fixed Income Research - Senior Associate,2015-12-22
AFP Integra,Investment Strategist - Credit and Equity Trader,2015-12-17
Global Infrastructure Partners,Associate,2015-12-17
Citi, Investor Sales Head,2015-12-15
Clever Inc.,Enterprise Account Executive,2015-12-14
CAF - banco de desarrollo de América Latina,Ejecutiva / Dirección de Fondos de Cooperación para el Desarrollo,2015-12-14
AFP HABITAT,Gerente Legal,2015-12-14
Grupo Centenario,Sub Gerente de Finanzas y Representante Bursatil,2015-12-14
Crack The Code,Coordinador EdTech,2015-12-14
"Superintendencia de Banca, Seguros y AFP del Perú",Chief of Banking Supervision / Data Analytics Coordinator,2015-12-10
Telecomunicaciones,GERENTE GENERAL,2015-12-07
Inversol Claro,Jefe de recursos humanos,2015-12-07
Pacífico Seguros,Sub Gerente de Análisis de Emisores,2015-12-02
Wolters Kluwer TeamMate Audit Solutions,"Manager, Professional Services Operations",2015-12-01
Scotiabank,M&A Associate Director,2015-11-27
Universidad San Ignacio de Loyola,Lecturer,2015-11-27
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor Principal de Riesgo Operacional,2015-11-27
"Superintendencia de Banca, Seguros y AFP del Perú",Coordinador Ejecutivo Técnico ,2015-11-27
World Bank Group,Economist in the Global Macro and Debt Unit,2015-11-26
Belcorp,Jefe de Arquitectura de Soluciones y Bigdata e Insights. BELCORP.  Docente Universitario PUCP,2015-11-26
Niclimit,Owner,2015-11-26
Telefónica,Ejecutiva Asociada de Auditoría Interna,2015-11-26
Decateca,Advisor,2015-11-25
"CFBAS Business Advisory Services, SRL",Consultora de empresas,2015-11-20
"Superintendencia de Banca, Seguros y AFP del Perú", Financial Institutions Manager,2015-11-19
Apple,Product Manager - Operations Product Development,2015-11-10
SURA Asset Management,Asesor Patrimonial en SURA Perú | AFP Integra,2015-11-06
Superintendencia de Bancos y Seguros,Analista del Sistema Financiero,2015-11-04
"Superintendencia de Banca, Seguros y AFP",Supervisora Principal de Microfinanzas,2015-10-30
La Positiva Vida Seguros y Reaseguros,Sub Gerente de Contabilidad,2015-10-30
Consultora Dynamus,Analista de Selección,2015-10-28
ABC Capital,Gerente general,2015-10-27
"Superintendencia de Banca, Seguros y AFP",Analista de Procesos,2015-10-26
Pontificia Universidad Católica del Peru - PUCP,Analista de sistema,2015-10-24
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Microfinanzas,2015-10-23
Newroad Global Investing,"Director, Wealth Management",2015-10-14
KNOWLEDGE PROCESS,GERENCIA DE SERVICIOS DE CAPACITACIÓN Y TECNOLOGÍAS,2015-10-08
SECURE SOFT CORPORATION,Consultor de seguridad de información,2015-10-05
Pacífico Seguros,Market Conduct Compliance Officer – Gerente Adjunto de Conducta de Mercado,2015-09-30
GRUPO OL,Jefe Comercial Grupo OL,2015-09-28
SBS,Intendente,2015-09-21
Western Union,Cash Management Administrator,2015-09-17
Banco Compartamos,Director de Producto de Créditos Individuales,2015-09-15
Bloquetera del Norte E.I.R.L.,Administrador / Ejecutivo Comercial de Nuevos Negocios,2015-09-09
Prosegur,Corporate Key Account Manager,2015-09-09
"Instituto Superior Tecnologico Publico ""Francisco de Paula Gonzales Vigil"" - Tacna",Miembro del cuerpo docente,2015-09-03
Developing World Markets,Managing Director,2015-09-02
EY,Senior Manager at EY | Financial Accounting Advisory Services,2015-08-28
Quest Capital Chile,Gerente de Cumplimiento y Control Interno | Chief Compliance Officer,2015-08-28
Universidad Privada del Norte,Jefe de Practica de Matemática en la Universidad Privada del Norte,2015-08-24
University of Cambridge,MBA Candidate,2015-08-24
Micgal E.i.r.l,Community Manager,2015-08-21
Interbank,Head of Structuring & Derivatives ,2015-08-21
Estudio Flores-Aráoz & Asociados,Presidente,2015-08-19
Repsol Gas del Perú S:A,Analista Comercial Senior,2015-08-18
Goleman Consulting Group,Senior Consultant,2015-08-18
UBS,Credit Risk Analyst Wealth Management & AS,2015-08-18
Core Capital SAFI,Socio y Gerente General | Synergy Partner,2015-08-18
"Superintendencia de Banca, Seguros y AFP",Abogado Departamento de Asesoría y Supervisión Legal,2015-08-18
Consultorio Privado,Cirujano Dentista,2015-08-18
"Superintendencia de Banca, Seguros y AFP del Perú",Analista en Equipo Ciencia de Datos,2015-08-10
Pontificia Universidad Catolica del Peru,Líder Técnico de Business Intelligence,2015-08-05
OSCE - Organismo Supervisor de las Contrataciones del Estado,Encargado de control patrimonial,2015-08-02
Caja Raiz,Senior Financial Auditor,2015-07-26
Financiera Efectiva S.A,Sub Gerente de Segmentacion y Estrategias de Riesgos,2015-07-26
"Superintendencia de Banca, Seguros y AFP del Perú",Abogado Principal del Departamento de Asesoria y Supervision Legal,2015-07-23
Solve Next,Strategic Innovation Specialist ,2015-07-14
Scotiabank,Especialista de Debida Diligencia Mejorada,2015-07-09
BanBif,Gerente de Control de Riesgo de Crédito y Modelos,2015-07-06
Prime Consultores,Especialista en consultoría Gestión de Riesgos y Procesos,2015-07-06
Universidad Católica Santo Domingo,Catedrático,2015-07-06
"Superintendencia de Banca, Seguros y AFP",Analista de desarrollo de sistemas I,2015-07-02
F&X DEL PERU SRL,Gerente Comercial,2015-07-02
Central de Compras Públicas - PERÚ COMPRAS,Especialista en Gestión de Catálogos Electrónicos,2015-06-28
Entretenciones CEC Perú S.A.,Jefe de Inteligencia Comercial,2015-06-25
Citi,Citi Country Officer Peru Managing Director,2015-06-20
"Superintendencia de Banca, Seguros y AFP del Perú",Coordinador Ejecutivo de Supervisión de Inversiones de Seguros,2015-06-19
Videoperitaje,Country Business Partner ,2015-06-17
BanBif,HR Business Partner / Socio de Negocio,2015-06-16
Financiera Crediscotia,Gerente de Tesoreria,2015-06-15
Redesocios Online,Asesor y Consultor Independiente de Pymes,2015-06-15
SAT AND STEEKLE SL,EFL TEACHER FOR EXECUTIVES,2015-06-15
Vicctus Multi Family Office,Portfolio Manager,2015-06-12
COFIDE,Ejecutivo de Riesgo,2015-06-11
Allan Gray Proprietary Limited,Business Intelligence Director,2015-06-11
matteria,Consultora Asociada LATAM,2015-06-08
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Jefe de Supervisión de Inversiones de Fondos de Pensiones,2015-06-07
IDT Corporation,Latam Technical Recruiter,2015-06-03
Uteki Corporation Limited,Sales Manager,2015-05-28
AGROINDUSTRIAS ANYLU SAC,Asesor Financiero Contable,2015-05-28
CLOUDMARKET PERU SAC,Gerente General,2015-05-26
Banco Metropolitano,Especialista de Tesoreria,2015-05-26
BTG Pactual,IT | Associate Director,2015-05-23
GESTE - Baden-Württemberg,Co-Geschäftsführer ,2015-05-22
Mibanco,Gerente de División de Finanzas,2015-05-22
RECO S.A.C.,Gerente General,2015-05-22
Capoeira4Refugees,Director,2015-05-22
Adecco,Team Leader,2015-05-21
Independiente,Consultor,2015-05-21
Frankfurt School of Finance & Management,Regional Director Africa,2015-05-21
Gesnext,Analista BI,2015-05-16
Unimar S.A.,ANALISTA DE TESORERIA,2015-05-15
Seguros Sura,Consultor de Vida Individual,2015-05-15
"Jockey Plaza, Lima Peru & Patio Design, Santa Cruz Bolivia",Directora Independiente,2015-05-12
Telefónica Ingeniería de Seguridad,GESTOR DE CONTINUIDAD,2015-05-12
Porter Novelli Perú,Presidente,2015-05-11
Ministerio de la Mujer y Poblaciones Vulnerables,Analista Estadistico,2015-05-11
 =,Investment Advisor,2015-05-11
FRUTOS Y GRANOS SUMAQ SAC,Contador General,2015-05-07
Tai Loy S.A,Administrador de Tienda,2015-05-05
Estudio Avendaño Abogados,Socio,2015-05-04
Marsh,Vice President & Lead Business Development. S.R O.,2015-05-01
QSI Perú,Sub - Manager Equipment,2015-05-01
EY,Socio,2015-04-30
Grupo Flesan Perú,Sub Gerente de Finanzas y Tesorería,2015-04-28
Qolono Inmobiliaria,Partner & Investment Director,2015-04-28
Scotiabank,Retired,2015-04-27
CAF - banco de desarrollo de América Latina,Senior Investment Officer (promoted from Investment Officer) - Private Sector Division,2015-04-26
"Superintendencia de Banca, Seguros y AFPs del Perú",Supervisor de Riesgo Operacional,2015-04-26
KPMG en Perú,IT Audit Director,2015-04-25
National Association for Latino Community Asset Builders,Director of Lending,2015-04-23
Universidad Científica del Sur,Jefa de prácticas - Docente part time ,2015-04-23
TRIANGLE QUALITY FOODS LLC,"Vicepresidente de Finanzas, Estrategia y Sostenibilidad ",2015-04-23
"Superintendencia de Banca, Seguros y AFP",Encargado del Departamento de Servicios de TI,2015-04-22
Digital Finance Advisory Services,Senior Digital Financial Services Advisor,2015-04-22
Banco de Comercio Exterior de Cuba,Risk Professional,2015-04-22
"Superintendencia de Banca, Seguros y AFP del Perú",Senior Information Security and Technology Supervisor I,2015-04-22
Tech Imagine Inc. - www.techimagine.com,Chief Opertation Officer (COO),2015-04-22
Prontomas,Advisory Board Member,2015-04-22
Profesional independiente,Asesor de empresas,2015-04-21
Princeton University,"Lecturer, School of Public and International Affairs (SPIA)",2015-04-21
COFIDE,Chief Financial Officer,2015-04-21
TRÜVIK Real Estate,Director,2015-04-21
Vida Carbon Corp,CEO and Co-founder,2015-04-20
ASBANC - Asociación de Bancos del Perú,Presidente del Directorio,2015-04-19
Autónomo,Asesor,2015-04-19
Deloitte UK,Senior Manager,2015-04-17
"Superintendencia de Banca, Seguros y AFP del Perú",Analista de Arquitectura de Software,2015-04-16
Grupo Intercorp,Gerente Corporativo Legal,2015-04-16
SAMMI - Clúster Minero Andino,Executive Director,2015-04-16
Pontificia Universidad Católica del Perú,Vicerrector,2015-04-15
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de Supervisión de Banca,2015-04-15
Banco Central de Reserva del Perú - BCRP,Supervisor - Análisis de Infraestructuras Financieras,2015-04-15
SOUTHERN PERU COPPER CORPORATION,Superintendente de Relaciones Públicas,2015-04-14
PAD - Escuela de Dirección de la Universidad de Piura,Professor of Finance,2015-04-14
Cementos Pacasmayo SAA,Analista de seguridad de la información,2015-04-13
DEG,CEO,2015-04-13
"Sociedad Nacional de Minería, Petróleo y Energía - SNMPE",Director Ejecutivo,2015-04-09
Agrobanco,Jefe de Riesgo Operacional,2015-04-09
Compartamos Financiera,Subgerente de Riesgo Operacional y Continuidad del Negocio,2015-04-09
Pacífico Seguros,Gerente Adjunto de Riesgo Operacional y Continuidad,2015-04-08
"Superintendencia de Banca, Seguros y AFP del Perú",Senior Counsel,2015-04-08
MicroInsurance Centre at Milliman,Managing Director: MicroInsurance Centre at Milliman,2015-04-08
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Riesgo Operacional,2015-04-08
Blue Orbit,Portfolio Manager,2015-04-08
Fondo de Seguro de Depósitos,Apoderado,2015-04-07
"Superintendencia de Banca, Seguros y AFP del Perú",Analista Principal de Microfinanzas,2015-04-07
KPMG France,Auditeur financier,2015-04-07
Estudio Linares Abogados,Asociado Senior,2015-04-06
"Superintendencia de Banca, Seguros y AFP",Supervisor de Conducta de Mercado,2015-04-05
SURA Asset Management,Coordinador de Proyectos y Procesos,2015-04-04
Women's World Banking,President and Chief Executive Officer,2015-04-03
Impact Entrepreneur,Founder & CEO,2015-04-03
Alfi,CEO Alfi Chile & Chief Operating Officer,2015-04-03
Scharff,Advisory Board,2015-04-03
Digital Bank Latam,Director Ejecutivo,2015-04-03
QOLLQEWASI CORP SAC,Presidente del Directorio,2015-03-31
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Intendente del Departamento de Supervisión Bancaria,2015-03-26
PROMUC consorcio de ONG´S Promoción de La Mujer y la Comunidad,Gerente General,2015-03-21
Pacífico Seguros,Consultor de ventas,2015-03-19
Consultora del Monte ,Gerente general,2015-03-17
IT / Data Consultant and Subject-Matter Expert,R&D Consulting (Many Contracts),2015-03-16
MAPFRE,Director de Oficina,2015-03-16
Cesce Perú,Analista de Siniestros y Recuperos,2015-03-07
INEI- Instituto Nacional de Estadística e Informática,Aplicador,2015-03-05
INCAE Business School,Departamento de Admisiones Maestrías,2015-03-05
TRANSLIGRA,Analista Implementador y Funcional,2015-03-05
"Social Investment Managers and Advisors, LLC",Managing Partner,2015-03-04
"Superintendencia de Banca, Seguros y AFP - Perú",Supervisor Principal de Riesgos de Conglomerados,2015-02-27
Risk&Return Inc.,General Manager,2015-02-26
Pacífico Seguros,Especialista BI,2015-02-18
AFP Habitat Perú,Gerente General,2015-02-16
Grupo Sancor Seguros,Jefe de Reisgos Operacionales,2015-02-10
UTP Universidad Tecnológica del Perú,Catedrático universitario,2015-02-10
Caja Huancayo,Gerente de Riesgo (Chief Risk Officer),2015-02-07
WISI Group,Sales Engeneer LATAM ,2015-02-07
BTG Pactual,"Director, FICC & EQUITIES / SALES FI",2015-02-04
SOFTWARE shop,Directora Perú,2015-02-03
Cesce Perú,Gerente de Riesgos: Seguros,2015-02-01
Citibanamex,Director - Head of Equities,2015-01-30
Profesional independiente,Bienes inmuebles,2015-01-29
Apricot Foods Pvt. Ltd.,Assistant Manager Human Resources,2015-01-28
MAPFRE,Director General de MAPFRE Economics (Servicio de Estudios de MAPFRE),2015-01-28
rispaku,desarrollador,2015-01-26
MICHIPLOT SAC,GERENTE GENERAL,2015-01-26
E-PASK 2021,CEO,2015-01-26
TELEMATICA S.A.,Customer Success and Support Team Coordinator,2015-01-21
Jovalco Ingenieros ,Jefatura del Area de Infraestructura,2015-01-20
CMAC PIURA SAC,JEFE DE RIESGOS OPERACIONALES,2015-01-20
PROMOHUB by Massive,Lead Project Manager,2015-01-19
Kindynos Consultora,Director Fundador ,2015-01-15
KEYFARM,Internship Trainee,2015-01-15
Softinsa,Project Management Office (PMO),2015-01-15
Gender Lens Initiative for Switzerland,VP Gender Lens Investing Switzerland Sustainable Finance,2015-01-14
Norsad Capital,Chief Executive Officer,2015-01-09
Marina de Guerra del Peru,Administrador de Red - Seguridad Informatica,2015-01-05
Click2Bank Solutions,CEO,2015-01-05
Q SYSTEM SAC,Engineer Core,2014-12-31
Estudio Grafotécnico BEGAZO & ASOCIADOS,Socio Principal,2014-12-28
"Superintendencia de Banca, Seguros y AFPs",Supervisor de Sistemas de Información y Tecnología,2014-12-28
Estudio Vigil Oliveros ,Socio Director,2014-12-23
Ha Dong Investment,Portfolio Manager,2014-12-20
BIO,Senior Investment Manager,2014-12-13
NG Restaurants S.A.,"Gerente de Auditoría Interna, Riesgos y Gestión de Procesos",2014-12-12
ASBANC - Asociación de Bancos del Perú,Gerente de Asuntos Regulatorios,2014-12-12
Banco de Crédito BCP,Auditor Sr.,2014-12-12
Gloria,Supervisor de Creditos y Cobranzas,2014-12-11
BBVA Microfinance,CFO,2014-12-11
Banco Santander,"Executive Director, Head Trader",2014-12-10
Vodanovic Legal ,Senior Manager,2014-12-09
Solarise Africa,Co-Founder & Director,2014-12-06
J.P. Morgan,Executive Director,2014-12-04
Compartamos Financiera,Jefe de crédito,2014-12-04
Incofin Investment Management,co-CEO,2014-12-02
Moody´s local,AVP-Analyst / Miembro de Comité de Clasificación,2014-12-01
Singapore FinTech Festival,Ambassador,2014-12-01
World Trade Center Yerevan,Chief Executive Officer,2014-12-01
Universidad Peruana de Ciencias Aplicadas,Professor of Macroeconomics,2014-12-01
Euronet Worldwide,"VP of Sales, The Americas",2014-11-30
Konecta Bto S.L.,asesor financiero,2014-11-30
Ransa,Supervisro SSOMA,2014-11-30
Scotiabank,Associate FX Sales,2014-11-29
7 Bridges Capital Partners,"Managing Director - Andean Region, C. America and Puerto Rico",2014-11-29
AFP HABITAT,Chief Investment Officer,2014-11-28
Andes Advanced Capital Sociedad Administradora de Fondos,Gerente General,2014-11-27
Amancio.pe,Co-founder,2014-11-27
Superintendencia del Mercado de Valores,Superintendente Adjunto de Riesgos,2014-11-26
BBVA Continental,Head Trader - Executive Director,2014-11-26
Banco D-MIRO,Deputy Chair of the Board,2014-11-26
Deloitte,Advisory Manager (New York - New Jersey),2014-11-25
Profesional independiente,Agente inmobiliario certificado,2014-11-25
La Positiva Vida Seguros y Reaseguros,Gerente General ,2014-11-24
BanBif,Head of Strategy & Investment Advisory,2014-11-23
Diversas empresas,Director Profesional de Empresas,2014-11-22
RESTREPO ORAMAS S.A.S,SOCIO - FUNDADOR,2014-11-22
Credicorp,Head of Transfer Pricing and Holdings financial planning,2014-11-22
BBVA Continental,Jefe de Riesgo de Crédito,2014-11-22
"Energy Precise, LatAm","CEO, Managing Partner",2014-11-22
Plan A Technologies,Vice President of Sales,2014-11-22
Grant Thornton Perú,Consultor Proyectos Finanzas ,2014-11-21
Brown Brothers Harriman & Co,Managing Director,2014-11-21
CAF - BANCO DE DESARROLLO DE AMERICA LATINA,Senior Executive,2014-11-21
Vrije Universiteit Amsterdam (VU Amsterdam),Ph.D. candidate - Economics,2014-11-21
Financiera Crediscotia,Retail Credit Risk Losses,2014-11-21
Market Value Consulting S.A.C.,Socio fundador,2014-11-21
La Magica - LIGO Tarjetas Peruanas Prepago,CEO & Founder,2014-11-21
"Superintendencia de Banca, Seguros y AFP",Gerente de Planeamiento y Organización,2014-11-21
COFIDE,Ejecutivo de Fideicomisos,2014-11-21
Antonio Tomasio,Asesor,2014-11-21
Mastercard,Country Manager Mexico,2014-11-21
Universidad Privada Boliviana - Fundación Educativa,Docente pregrado y postgrado,2014-11-20
Instituto Cultural Peruano Norteamericano - ICPNA,Presidente Consejo Directivo,2014-11-19
Kolmea,Business Development Manager,2014-11-19
BanBif,Zonal Norte - Oriente,2014-11-19
"MicroVest Capital Management, LLC",Managing Director of Business Development,2014-11-19
BDO Argentina,Socio | Gobierno Tecnológico y Ciberseguridad,2014-11-18
Nelson Mullins Riley & Scarborough,Associate,2014-11-18
Coopac,Jefe de Riesgos,2014-11-18
Financiera Oh!,Chief Executive Officer,2014-11-18
Banco Santander,Managing Director - Head of Markets,2014-11-17
NeoAuto,Presidente del Directorio,2014-11-17
Productos Paraíso del Perú,Gerente general,2014-11-17
Credicorp Capital,Country Head Asset Management Colombia - MD Investment Products,2014-11-17
CAIA Latin America Chapter,Chapter Head LATAM,2014-11-17
LXG Multi Family Office,Chief Investment Officer,2014-11-17
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Head of Supervision and Projects – Banking Supervision Department,2014-11-17
Banco de Crédito BCP,Gerente de Divisón de Banca Corporativa & Internacional,2014-11-17
Argenta,Board Member (iNED) & Chairman Risk & Audit Committee,2014-11-16
Primarschule Hedingen,Primary School Teacher,2014-11-16
BBVA Asset Management ,"Executive Director, Fixed Income Latam",2014-11-15
Faro Capital,Chief Investment Officer,2014-11-15
Feels Good,Angel Investor,2014-11-15
RF Capital | Peru,Gerente General,2014-11-15
PIMCO,SVP - Head of Latam Global Wealth Management,2014-11-15
Citi,Vice President - FX Head,2014-11-15
PRAGMATIC,Director Gerente,2014-11-14
Harbor Ithaka,Director,2014-11-14
ESAN,Profesor,2014-11-14
Deloitte,Senior Manager,2014-11-14
O-I,Global People & Culture Sr Coordinator,2014-11-14
Eva,Head of Talent Acquisition,2014-11-14
Credicorp,Gerente de Gestión del Talento,2014-11-14
Lee Hecht Harrison,Presidente Perú,2014-11-14
RMG,Training Services Manager,2014-11-14
Vodanovic Legal ,Founding Partner,2014-11-14
Scotiabank Global Banking and Markets,Equity Research Associate Director,2014-11-14
Research for Traders,Director,2014-11-14
Inteligo Group,Financial Planning and Analysis Manager,2014-11-14
Santander Consumer Bank - Nordics,Senior Risk Analyst ,2014-11-14
Universidad de Piura,Docente,2014-11-14
"Superintendencia de Banca, Seguros y AFP del Perú",Principal Investment Supervisor of Pension Funds,2014-11-13
Pontificia Universidad Católica del Peru - PUCP,analista,2014-11-13
Interfondos,Gerente Comercial,2014-11-13
"Superintendencia de Banca, Seguros y AFP del Perú",Abogado Principal,2014-11-12
CAMEX - Cámara Peruana de Comercio,Presidente ,2014-11-12
"Superintendencia de Banca, Seguros y AFPs",Gerente de Tecnologías de Información,2014-11-12
Enabling Qapital AG,Independent Investment Committee Member,2014-11-12
Euromoney Training,Professor,2014-11-12
HelloFresh,"Director, People Services",2014-11-12
Universidad ESAN,"Profesor, Consultor e Investigador en Finanzas, Riesgos, Estrategia y Mercado de Capitales",2014-11-11
Superintendencia de Bancos y Seguros,Abogada Auditora,2014-11-11
Agrobanco,Gerente de Administración Operaciones y Finanzas (e),2014-11-11
Deloitte,Cyber Strategy & Risk Senior Consultant,2014-11-11
"Superintendencia de Banca, Seguros y AFP",Intendente de Supervisión de Intermediarios y Auxiliares de Seguros,2014-11-11
Crecer Seguros - compañía de seguros,Chief Risk Officer (CRO),2014-11-11
ACRES SAFI,Gerente General,2014-11-11
Private Capital Development ,Chief Development Officer,2014-11-11
PIMCO,Executive Vice President,2014-11-11
BRAINVEST,Senior Relationship Manager,2014-11-11
"Superintendencia de Banca, Seguros y AFP del Perú",Superintendente Adjunto de Administración General,2014-11-11
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Superintendente Adjunto de Seguros,2014-11-10
Independiente,Proyectos en artes escénicas,2014-11-04
OptiAssets,Executive Director,2014-11-04
SURA Perú,Gerente General Fondos SURA SAF,2014-11-03
"Superintendencia de Banca, Seguros y AFP",Intendente de Supervisión de Seguros,2014-11-03
Emergency Response Consulting (ERc),Gerente general. Director Académico Diplomado Gestión de Crisis Universidad San Sebastián,2014-11-03
Instituto para la Calidad - PUCP,Director,2014-11-03
BBVA en Perú,Data Intelligence Associate,2014-11-02
Data Mining Consulting,Capacitador,2014-11-02
AFP Habitat Perú,Sub Gerente de Control de Inversiones,2014-10-31
TV AZTECA - Division Azteca Play,Ejecutivo de planeacion financiera y Control Presupuestal,2014-10-31
Wicuk,Board Member,2014-10-31
Protiviti Perú,Director,2014-10-30
APESEG - Asociación Peruana de Empresas de Seguros,President,2014-10-30
"Superintendencia de Banca, Seguros y AFPs del Perú",Jefe de Supervisión,2014-10-30
Belcorp,Corporate Internal Audit Director,2014-10-30
"Superintendencia de Banca, Seguros y AFP",Jefe del Departamento de Planeamiento y Control de Gestión,2014-10-30
BBVA,Principal Manager de Seguimiento de Proyectos - Finanzas,2014-10-30
Superintendencia de Bancos y Seguros,Abogado Principal,2014-10-30
Pontificia Universidad Catolica del Peru,Jefe de Desarrollo de Sistemas - Dirección de Informática,2014-10-30
Cerámicos Pakamuros,Administrador de oficina,2014-10-30
Derrama Magisterial,Market and Liquidty Risk Analyst,2014-10-29
Farmacias Peruanas,Technical Product Owner,2014-10-29
Scotiabank Peru,Funcionaria de Negocios,2014-10-24
"Superintendencia de Banca, Seguros y AFP del Perú",Executive Coordinator of Pension Funds' Investment,2014-10-20
LAIVE S.A.,Subgerente de Talento y Desarrollo,2014-10-20
Universidad del Pacifico,Profesora de la Facultad de Economía,2014-10-16
IDB Invest,Portfolio Management Officer - Consultant (Financial Markets),2014-10-16
Wolters Kluwer Tax & Accounting US,Senior Field Sales Manager,2014-10-16
GOTEL,Gerente de Operaciones,2014-10-13
Scotiabank,Jefe de Producto Activos Empresariales Sr.,2014-10-12
CREDITECH PERÚ,Director General - CEO,2014-10-09
S.B.S.,Jefe de Supervisión de Inspecciones,2014-10-07
SENATI,"CONSULTOR EN MICROFINANZAS, CAPACITADOR E INSTRUCTOR A TIEMPO COMPLETO ",2014-09-28
Caja Sullana,Auditor interno,2014-09-26
