company,position,connected_on
"Cambridge Centre for Alternative Finance, Cambridge Judge Business School",SupTech Specialist | Cambridge SupTech Lab,2022-09-01
Babson F.W. Olin Graduate School of Business,MBA Candidate,2022-08-31
Raytheon Technologies,Management Consultant,2022-08-31
Wayfair,Category Management,2022-08-31
Northeastern University,"Career Advisor, Employer Engagement & Career Design",2022-08-31
St. Sebastian's School,Spanish teacher ,2022-08-31
Babson F.W. Olin Graduate School of Business,MBA Candidate Class of 2023,2022-08-30
Ernst & Young,Associate Partner,2022-08-30
Bancolombia,FX and Derivatives Sales Trader,2022-08-30
MAPFRE,Consultant (Babson Consulting Experience),2022-08-30
Babson F.W. Olin Graduate School of Business,MBA Candidate,2022-08-30
Mendoza Ventures,Venture MBA Fellow,2022-08-30
Ralph's Garden,Founder / General Manager / Sales Manager,2022-08-30
BIO Integration Journal,Academic Editor,2022-08-30
Arco Homes ,Construction Manager,2022-08-30
Proskauer Rose LLP,Private Funds Junior Analyst,2022-08-30
Allen & Gerritsen,Media Planner,2022-08-30
Atlas Urban Farms,Founder,2022-08-30
Health & Beyond,Founder,2022-08-30
Babson F.W. Olin Graduate School of Business,MBA Candidate,2022-08-30
Deloitte Australia,Senior Business Analyst,2022-08-30
Play Business,Growth Marketing Director,2022-08-30
ECA Solar,Project Finance,2022-08-30
ULedger,MBA Intern,2022-08-30
Babson College,Graduate Research Assistant,2022-08-30
Teradyne,Product Manager,2022-08-30
NEC X Inc.,Product Manager Lead,2022-08-30
Banchile Inversiones,Deputy Manager - Private Equity & Private Debt Direct Investments,2022-08-30
Harbinger,Financial Analyst,2022-08-30
Goldleaf Design ,Project Manager,2022-08-30
Innovations for Poverty Action,"Associate Program Manager, EPSD Program",2022-08-30
Babson F.W. Olin Graduate School of Business,MBA Candidate ,2022-08-30
High Time Foods,Consultant,2022-08-30
Standard Chartered Bank,Associate Product Manager,2022-08-30
TPaga,Co-Founder & CEO,2022-08-30
Tina Krohn Photo,Photographer,2022-08-28
EY,Partner,2022-08-26
HubSpot,Head of LATAM Partnerships- HubSpot For Startups,2022-08-25
Clear People,Senior Consultant & Staffing Head,2022-08-18
Automate Grow Sell,Conquer Coach,2022-08-09
Babson Global Entrepreneurial Leadership Forum,Director of Networking,2022-07-06
IntelyCare,Program Manager ,2022-06-23
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú","Market, liquidity and investment risks supervisor",2022-06-22
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Supervisor de Riesgos de LA/FT,2022-06-17
GTreasury,North East Enterprise Sales lead,2022-06-16
Babson Family Business Club,Vice President Marketing,2022-06-15
Agile Synergy Group,Private Equity Associate,2022-06-09
Berkshire Bank,"FVP, Reevx Relationship Manager, Team Leader",2022-06-08
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Insurance Supervisor,2022-06-07
Babson College,"Program Innovations ( Innovation, Strategy and Partnership Development)",2022-06-03
Top Diamantaire Limited,Founder,2022-05-20
Wall Street English - Peru,Supervisor,2022-05-19
"Converge Consulting, LLC",Business Intern,2022-05-19
Raise Green,Impact Partner ,2022-05-16
"Superintendencia de Banca, Seguros y AFP del Perú",Intendente de Microfinanzas,2022-05-13
Babson F.W. Olin Graduate School of Business,Associate Director of Graduate Student Advising/Relationship Manager,2022-05-11
Lisa H. Mesicek - Coaching & Consulting,Leadership & Career Coach | Business Strategy Consultant,2022-05-10
Babson College,"Senior Associate Director, Graduate Center for Career Development",2022-05-10
AB InBev,M&A and Special Projects Manager,2022-05-02
Babson F.W. Olin Graduate School of Business,"Senior Associate Director, Graduate Center for Career Development",2022-04-20
Dassault Systèmes,CRE Program Marketing Specialist,2022-04-20
Babson College,"Associate Director, Alumni & Working Professionals MBA Career & Engagement Manager",2022-04-20
GENNECO SAC,Director y Socio Fundador,2022-04-19
Babson F.W. Olin Graduate School of Business,MBA Candidate,2022-04-18
GardaWorld,Líder de Control y Gestión,2022-04-16
DRAXON Investment Migration,Co-Founder and CFO,2022-04-10
Waray Consulting,Co-Founder & CEO,2022-04-07
Amateur Fund,Investor,2022-03-23
"Superintendencia de Banca, Seguros y AFP del Perú",Practicante Preprofesional del Departamento de Supervisión de Inversiones de Seguros,2022-03-14
Banco de Crédito BCP,Gerente Adjunto Cartera Digital - Banca Multinacional,2022-03-08
JPMorgan Chase & Co.,Analyst,2022-03-04
BanBif,Especialista en Estrategia de Inversiones,2022-03-02
CPI Tinoco,Propietario,2022-03-01
Credicorp Capital,Investment Products Senior Analyst | Structured Products,2022-02-28
TasaTop.com,CEO & Cofundador,2022-02-28
Backus,Sales Finance Manager,2022-02-28
BBVA,Ejecutivo Banca Empresa y Corporativa,2022-02-28
Credicorp,Gerente Adjunto de Pricing,2022-02-28
Culqi,Co-Founder | Chief Product Officer [CPO] | Management Board,2022-02-28
Superdigital,Commercial & Product Head,2022-02-28
Scotiabank,Associate Director Investment Banking,2022-02-28
BBVA,Banquero Privado,2022-02-28
Universidad del Pacífico (PE),Líder del proyecto Ecosistema Plateado,2022-02-28
Reviur Inc,Analyst,2022-02-28
Globant,Web UI Developer,2022-02-28
Yape,Business Specialist Proficient,2022-02-28
Flip Inversiones,Chief Executive Officer,2022-02-28
BNP Paribas Cardif,Chief actuarial and financial officer ,2022-02-23
"Superintendencia de Banca, Seguros y AFP del Perú",Actuarial Supervisor I,2022-02-22
Krealo,Vice President,2022-02-14
GLOBAL BRIDGE CONNECTIONS INC,Contable administrativo,2022-02-13
Viru S.A.,Chief Financial Officer (CFO),2022-02-03
My MBA Path,Founder,2022-01-28
Banco Latinoamericano de Comercio Exterior S.A. (Bladex),Analista Senior de Riesgo de Crédito CA&C,2022-01-23
Smart Perú,Practicante Profesional de Tesorería ,2022-01-22
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de AFOCAT II,2022-01-22
"Superintendencia de Banca, Seguros y AFP del Perú",Operational Risk Supervisor,2022-01-17
Credicorp Capital,Fixed Income Desk Analyst,2022-01-15
"Superintendencia de Banca, Seguros y AFP",Analista principal de comunicación externa -  Gerencia de Asuntos Internacionales y Comunicaciones,2022-01-15
Santander Perú,Head of Markets and Treasury Operations,2022-01-14
Finance and Investment Club PUCP,Founder & President,2022-01-14
Osorio Asociados,Lead Partner,2022-01-14
Spray Wash,Director Asociado en Planeamiento y Organización,2022-01-10
Développement international Desjardins (DID),Digital Transformation Advisor,2022-01-04
Grupo Celima Trebol,Asistente de nóminas,2021-12-28
ND - Executive Search,Senior Research Associate,2021-12-28
Prex,Country Manager,2021-12-10
Alicorp,Corporate Head of Financial Markets,2021-12-07
AFP Integra,Investment Strategist - Private Markets,2021-12-06
SURA Investment Management,Portfolio Manager Renta Fija,2021-12-06
Vicctus Multi Family Office,Portfolio Manager,2021-12-06
ECCMA,Membership Relationship Manager,2021-12-02
Scotiabank,Director Head Institutional Sales,2021-12-02
W CAPITAL SAFI,VP de Fondos Inmobiliarios,2021-12-01
"Superintendencia de Banca, Seguros y AFP del Perú",Auxiliar administrativo en el área de Archivo Central,2021-12-01
Mastercard,Director,2021-11-30
LLYC,Director Senior de Comunicación Corporativa,2021-11-30
Tappoyo Fintech,Co - fundador - Gerente Comercial,2021-11-30
"Superintendencia de Banca, Seguros y AFP del Perú",Inspector de Banca,2021-11-29
Minera Chinalco Perú S.A.,Comprador,2021-11-28
Tebca,Gerente de Generación de Demanda,2021-11-28
Finsmart Perú,Legal Counsel,2021-11-28
MedLink.la,Founder & CEO,2021-11-28
Legal Ventures,Founder & Head Counsel ,2021-11-27
Ayuda en Acción,Country Director,2021-11-27
La Fiduciaria,Gerente Legal,2021-11-27
Morningstar,Corporate Solutions Senior Associate - Sustainalytics,2021-11-27
Profuturo AFP,Asesor financiero,2021-11-27
INTELIGO SAB,Gerente de inversiones,2021-11-27
Scotiabank,Structured Finance Senior Associate | Investment Banking,2021-11-27
Universidad Peruana de Ciencias Aplicadas,Directora Experta de Maestría en Auditoría y Gestión de Riesgos ,2021-11-26
"Superintendencia de Banca, Seguros y AFP's",Supervisor de Banca,2021-11-25
AFP Integra,Deputy CIO - Head Bottom Up Strategy,2021-11-25
KPMG en Perú,"Socio de Auditoría, Líder Sector Financiero",2021-11-24
PAD - Escuela de Dirección de la Universidad de Piura,Miembro del cuerpo docente - Finanzas,2021-11-24
Grupo Santander,Quality Data Analytics & Models Analyst,2021-11-24
BBVA,Enterprise Financing Discipline Leader,2021-11-24
SURA México,Portfolio Manager – Alternative Investments,2021-11-24
Delivery Hero,Associate Product Manager II,2021-11-24
Inversiones.io,Co-Founder,2021-11-24
QUIPU ALTERNATIVE INVESTMENTS,Gerente General & Portfolio Manager ,2021-11-23
International Financial Options,Global Fintech Advisor,2021-11-23
Experian,Miembro Directivo - Grupo Foxtel,2021-11-23
Rappi,Product Lead - RappiAds,2021-11-23
"Superintendencia de Banca, Seguros y AFP del Perú",Practicante de Supervisión de Inversiones de Seguros ,2021-11-23
INTERBANK,Deputy Investment Manager,2021-11-23
Credicorp Capital,"Managing Director, Head of Fixed Income",2021-11-23
Ameris Capital,Gerente Distribución Perú,2021-11-22
Banco de Crédito BCP,Data Scientist,2021-11-22
TC Latin America Partners,Associate,2021-11-22
Credicorp Capital,Administrador de Portafolio de Renta Variable - Credicorp Capital SA SAF,2021-11-21
Imperial College London,Research Assistant- Sustainability ,2021-11-21
Lider Grupo Constructor,Gerente General LIDER Panamá,2021-11-21
Morgan Stanley,Market Risk Associate ,2021-11-21
Sierra Advisors ,Founder & Director,2021-11-21
SURA Perú,Gerente de Inversiones y Productos en SURA Perú,2021-11-21
Credicorp Capital,Head of Credicorp Capital Asset Management and Head of Alternative Investments,2021-11-21
Rimac Seguros y Reaseguros,Gerente de Analítica Digital,2021-11-20
"Payet, Rey, Cauvi, Pérez Abogados",Socio,2021-11-20
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Information Systems and Technology Supervisor,2021-11-20
Scotiabank,Market Risk Senior Analyst,2021-11-20
Sumitomo Mitsui Banking Corporation,Director - Latin America Corporate Finance,2021-11-20
Banco de Crédito BCP,Gerente del Centro de Innovacxión ,2021-11-20
Profesional independiente,Asesor en finanzas personales e inversiones | Creador de contenido,2021-11-20
HMC CAPITAL,Portfolio Manager,2021-11-19
Pontificia Universidad Católica del Perú,Docente,2021-11-19
