company,position,connected_on,user
Babson College,MBA Candidate 2024 - Business Analytics & Machine Learning (STEM),2022-09-27,Camilo
Amazon,Senior Product Manager Intern,2022-09-27,Camilo
Babson Consulting Club (BCC),Vice President of Marketing,2022-09-27,Camilo
Babson College,MBA Candidate,2022-09-25,Camilo
Babson College,Graduate Assistant,2022-09-24,Camilo
Arnot Health,Emergency Medical Assistant,2022-09-24,Camilo
MIT Schwarzman College of Computing,Research Scholar,2022-09-23,Camilo
Tipsons Financial Services Limited,Co-Founder The Fixedincome.com,2022-09-23,Camilo
Cristalerías de Chile,Gerente de Negocios Internacionales,2022-09-22,Camilo
Columbia Business School,MBA Candidate,2022-09-22,Camilo
Wood Mackenzie,"Vice President, Head of Americas Power & Renewables Consulting ",2022-09-21,Camilo
Loopr AI,Vice President Of Business Development,2022-09-21,Camilo
Rones y Bebidas del Caribe - Yazoo,Associate Commercial Director,2022-09-21,Camilo
Scotiabank,Board Member,2022-09-20,Camilo
Amazon Web Services (AWS),Solutions Architect - ISV,2022-09-17,Camilo
Babson College,Building a social media application for professional networking,2022-09-14,Camilo
Babson College,Professor of Marketing,2022-09-14,Camilo
Principal Chile,Change Management Leader,2022-09-12,Camilo
Babson College,Professor,2022-09-09,Camilo
ChileMass,Operations Lead ,2022-09-06,Camilo
Fuensalida & Del Valle,Lawyer,2022-09-06,Camilo
IMPACTLATAM,Founder & CEO,2022-08-31,Camilo
Wecover Platforms,Country Manager,2022-08-30,Camilo
Zuleta Abogados Asociados,Asociado,2022-08-30,Camilo
Dataforge Academy,Teacher,2022-08-29,Camilo
wherEX,Head of Suppliers Financing,2022-08-29,Camilo
MAS Analytics,CEO,2022-08-29,Camilo
Sitka Advisors,Corporate Finance Senior Analyst,2022-08-26,Camilo
Protiviti,Consultant,2022-08-25,Camilo
Prediktia,Co-Founder,2022-08-25,Camilo
PayJoy,Product Manager,2022-08-24,Camilo
QX-Quarterly Crossing,Director of Ecosystem Building,2022-08-24,Camilo
Harvard University,MBA Candidate,2022-08-17,Camilo
Health & Beyond,Founder,2022-08-17,Camilo
Noracid S.A.,Subgerente de Desarrollo y Nuevos Negocios,2022-08-12,Camilo
Fundación TACAL,Analista de datos,2022-08-12,Camilo
SEMIN,Miembro,2022-08-09,Camilo
Automate Grow Sell,Conquer Coach,2022-08-07,Camilo
Babson College,Estudiante de MBA,2022-08-03,Camilo
IE Business School,MBA Candidate,2022-08-01,Camilo
ComunidadXplore,Co-Founder & CEO,2022-07-28,Camilo
Julius Baer,Relationship Manager,2022-07-27,Camilo
Banchile Corredores de Bolsa S.A.,Subgerente Private Wealth Management,2022-07-26,Camilo
Wells Fargo Capital Finance,"Senior Vice President, Cross-Border Liaison",2022-07-26,Camilo
Inversiones y Asesorias InveRisso SpA,Board Member,2022-07-22,Camilo
Itau BBA,Vice President,2022-07-22,Camilo
Banchile Inversiones,Subgerente de Adm. De Personal y RR.LL.,2022-07-22,Camilo
Productos de Alambre  KORDA ltda,Gerente Comercial,2022-07-21,Camilo
POSHI,Babson Consulting Experience (Fall 2022),2022-07-19,Camilo
Ralph's Garden,Founder / General Manager / Sales Manager,2022-07-19,Camilo
Babson College,MBA Candidate ,2022-07-18,Camilo
Babson College,MBA Candidate,2022-07-18,Camilo
Babson College,MBA Candidate at Babson F.W. Olin Graduate School of Business,2022-07-15,Camilo
Babson College,Professor of Practice in Strategy,2022-07-14,Camilo
Dominus Capital,Director Comercial,2022-07-14,Camilo
Antaeus Travel Group,Managing Director,2022-07-14,Camilo
BioRICS,"Management Consultant, as part of academically sponsored team-based project",2022-07-08,Camilo
Pontificia Universidad Catolica de Chile,Full Professor,2022-07-03,Camilo
